ID,tweet,fecha,usuario,dispositivo
1305211101420814336,"#Jalisco tienes ahi un hombre honesto, sencillo, grande entre los grandes, llama la atención su tenacidad, sinceridad, y amor al pueblo, a un lado narco gobernador, @EnriqueAlfaroR se te arrugaron los🥚🥚del susto, al pasar #AMLO agachas la vista, eso es de cobardes!🤣 https://t.co/kITiRQtvJk",2020-09-13 18:25:50,OyeCielitoLindo,Twitter Web App
1305210796830588931,@epigmenioibarra Jajajajajjajajajajajajaja #AmloCorruptoMafioso  #AmloFracasoPresidencial  #AMLO #AMLOseVA #ChihuahuaAntiAmlo #AMLOMiente https://t.co/Zu101cnPP6,2020-09-13 18:24:38,LuzE15332618,Twitter for Android
1305210392176742404,"Ninguna autoridad intervino 

#AMLO 
#RedAMLO 
@ContraloriaFGJ https://t.co/wgPvwCKVvV",2020-09-13 18:23:01,Vampiroperver,Twitter for Android
1305210076362420225,"“Vamos mejorando en el combate a la #Pandemia”: #AMLO     
  https://t.co/fuy56aPpWO https://t.co/CfzGCv3v6F",2020-09-13 18:21:46,MarcrixNoticias,Hootsuite Inc.
1305209812888825860,Lo bueno que ya no hay corrupción #AMLO #FelizDomingo @GobiernoMX @lopezobrador_ @Morena_edomex @GPMorenaEdomex @DiputadosMorena @MorenaSenadores @PartidoMorenaMx https://t.co/5P3uQmfwZQ,2020-09-13 18:20:43,EdomexYa,Twitter for Android
1305209140881612804,@lopezobrador_ SE FILTRA IMAGEN DE ÚLTIMO MINUTO DEL NUEVO #Fifi @Edd_Campe AMIGO DE #AMLO MAÑANA #ConferenciaPresidente EN 8 COLUMNAS PARA EL #REFORMA SEGÚN EL youtuber @monomonky GANA MAS DE UN MILLON DE PESOS CANAL @_VicenteSerrano @AlfredoJalife2 @julioastillero @CiroGomezL,2020-09-13 18:18:03,arturomdz63,Twitter for Android
1305209025362120704,"@PermanenteLa @lopezobrador_ Y a tí, ¿qué inmueble te ha quitado #AMLO?",2020-09-13 18:17:35,FreundCarlos,Twitter Web App
1305208669651566593,Eres grande #Amlo https://t.co/Nkva6oxfgs,2020-09-13 18:16:11,pocopelo23,Twitter for Android
1305208336183300096,"@CARIBAX @GUSTBY1 @MBustillosMX 👀Si no hay que ser; Carlos tu video original esta muy bonito; y me imagino que te tomó tiempo realizarlo. MUCHOS apreciamos todos tus videos de apoya a #Amlo 
Distribuirlo-compartirlo creo que esta bien; pero alterarlo, y presentarlo como tuyo, no es correcto.

RT
@MBustillosMX",2020-09-13 18:14:51,GloriousGT,Twitter for iPhone
1305207767909638145,@ElMaderense12 #AMLO en mi corazón #TodosSomosAMLO,2020-09-13 18:12:36,SoyYoLetizia,Twitter for iPhone
